complaint,language,category,subcategory,department,priority,severity_score,district_type,confidence_label
रामनगर कॉलोनी की नाली बारिश के बिना भी ओवरफ्लो हो रही है।,Hindi,Drainage,Drain Overflow,Municipal Corporation,High,76,Urban,High
विद्यालय के सामने की नाली में कचरा भरा है जिससे बच्चों को परेशानी हो रही है।,Hindi,Drainage,Blocked Drain,Municipal Corporation,High,72,Urban,High
हमारे मोहल्ले की नाली आधी बनी है इसलिए पानी सड़क पर फैल जाता है।,Hindi,Drainage,Drain Construction,Municipal Corporation,Medium,61,Urban,High
वार्ड 3 में नाली का पानी दुकानों तक पहुंच रहा है।,Hindi,Drainage,Drain Overflow,Municipal Corporation,High,74,Urban,High
ग्राम पंचायत ने नई नाली बनाई लेकिन उसका पानी आगे नहीं निकल रहा।,Hindi,Drainage,Poor Drain Maintenance,Rural Development Department,Medium,57,Rural,High
मुख्य बाजार के पास नाली से लगातार दुर्गंध आ रही है।,Hindi,Drainage,Open Drain,Municipal Corporation,Medium,56,Urban,High
15 जुलाई से नाली जाम है लेकिन अभी तक कोई सफाई नहीं हुई।,Hindi,Drainage,Blocked Drain,Municipal Corporation,High,71,Urban,High
नाली का गंदा पानी खेत तक पहुंच रहा है जिससे फसल खराब हो रही है।,Hindi,Drainage,Drain Overflow,Rural Development Department,High,78,Rural,High
शिव मंदिर के सामने नाली का ढक्कन टूटा हुआ है।,Hindi,Drainage,Broken Drain Cover,Municipal Corporation,High,79,Urban,High
सफाई कर्मचारी कई दिनों से इस इलाके में नहीं आए हैं नाली भर गई है।,Hindi,Drainage,Drain Cleaning,Municipal Corporation,Medium,59,Urban,High
गांव के बस स्टॉप के पास नाली बंद होने से कीचड़ फैल गया है।,Hindi,Drainage,Blocked Drain,Rural Development Department,Medium,60,Rural,High
नाली का पानी पीने के पानी की लाइन के पास रिस रहा है तुरंत कार्रवाई करें।,Hindi,Drainage,Drain Leakage,Public Health Engineering Department,Ultra High,94,Urban,High
कॉलोनी की पूरी ड्रेनेज लाइन धंस गई है और पानी वापस ऊपर आ रहा है।,Hindi,Drainage,Damaged Drain,Municipal Corporation,High,85,Urban,High
Nali pura jam hai Ward 9 me pani road pe aa raha hai.,Hinglish,Drainage,Blocked Drain,Municipal Corporation,High,81,Urban,High
Hamare gaon ke school ke paas wali nali saf hi nahi hoti.,Hinglish,Drainage,Drain Cleaning,Rural Development Department,Medium,62,Rural,High
Hospital ke side se sewer ka ganda pani nali se bahar nikal raha hai.,Hinglish,Drainage,Sewage Overflow,Public Health Engineering Department,Ultra High,95,Urban,High
Market ke samne open nali ki smell se rehna mushkil ho gaya.,Hinglish,Drainage,Open Drain,Municipal Corporation,Medium,58,Urban,High
Nayi colony me drainage system adhura chhod diya gaya hai.,Hinglish,Drainage,Drain Construction,Municipal Corporation,High,77,Urban,High
Bus stand ke piche nali overflow ho rhi h daily problem hai.,Hinglish,Drainage,Drain Overflow,Municipal Corporation,High,76,Urban,High
Nali ka dhakkan toot gaya h bacche gir sakte hain.,Hinglish,Drainage,Broken Drain Cover,Municipal Corporation,High,84,Urban,High
2 hafte se nali saaf nahi hui machhar bahut badh gaye.,Hinglish,Drainage,Drain Cleaning,Municipal Corporation,Medium,57,Urban,High
Village road ke kinare wali nali mitti se band padi hai.,Hinglish,Drainage,Blocked Drain,Rural Development Department,Medium,61,Rural,High
Drain ka pani ghar ke andar aa jata h jab bhi thodi barish hoti.,Hinglish,Drainage,Drain Overflow,Municipal Corporation,High,82,Urban,High
Kal se nali reverse flow kar rhi hai aur pura area gandaa ho gaya.,Hinglish,Drainage,Poor Drain Maintenance,Municipal Corporation,High,73,Urban,High
Mandir ke paas wali nali me plastic bhar gaya hai pls clean.,Hinglish,Drainage,Blocked Drain,Municipal Corporation,Medium,54,Urban,High
PHC ke bahar drainage line leak kar rhi hai.,Hinglish,Drainage,Drain Leakage,Public Health Engineering Department,High,79,Rural,High
Ward 21 me nali ki safai sirf naam ki hoti hai.,Hinglish,Drainage,Drain Cleaning,Municipal Corporation,Medium,53,Urban,High
Road banate time nali bandh kar di ab pani nikl hi nahi raha.,Hinglish,Drainage,Blocked Drain,Municipal Corporation,High,74,Urban,High
Sabzi mandi ke paas drain choke ho gaya ab pani nikl hi nahi raha.,Hinglish,Drainage,Blocked Drain,Municipal Corporation,High,70,Urban,High
Drain near Ward 5 water tank has been blocked for over a week and wastewater is flowing onto the road.,English,Drainage,Blocked Drain,Municipal Corporation,High,81,Urban,High
Open drain beside Green Park Colony is overflowing after light rain itself.,English,Drainage,Drain Overflow,Municipal Corporation,High,76,Urban,High
The drain outside our shop in Azad Market is filled with garbage and nobody is cleaning it.,English,Drainage,Drain Cleaning,Municipal Corporation,Medium,63,Urban,High
Drainage water has entered the government school playground in Bhilai village.,English,Drainage,Drain Overflow,Rural Development Department,High,74,Rural,High
The roadside drain collapsed near the bridge and dirty water is collecting there.,English,Drainage,Damaged Drain,Municipal Corporation,High,84,Urban,High
Water is not flowing through the drain because construction waste has blocked it.,English,Drainage,Blocked Drain,Municipal Corporation,Medium,65,Urban,High
There is a strong foul smell from the uncovered drain near the bus depot.,English,Drainage,Open Drain,Municipal Corporation,Medium,57,Urban,High
Drain near Ward 14 has not been cleaned for months despite repeated complaints.,English,Drainage,Drain Cleaning,Municipal Corporation,High,72,Urban,High
Sewage from the drainage line is entering nearby houses in Patel Nagar.,English,Drainage,Sewage Overflow,Public Health Engineering Department,Ultra High,96,Urban,High
Rainwater remains stagnant because the drainage outlet is completely blocked.,English,Drainage,Blocked Drain,Municipal Corporation,Medium,61,Urban,High
Our village drainage channel is broken and wastewater is flowing into the fields.,English,Drainage,Damaged Drain,Rural Development Department,High,77,Rural,High
The drain outside the PHC has become a breeding place for mosquitoes.,English,Drainage,Poor Drain Maintenance,Public Health Engineering Department,Medium,58,Rural,High
वार्ड 9 की नाली में इतना कचरा जमा है कि पानी बिल्कुल नहीं निकल रहा।,Hindi,Drainage,Blocked Drain,Municipal Corporation,High,82,Urban,High
गांव खम्हारडीह में नाली का गंदा पानी सड़क पर बह रहा है।,Hindi,Drainage,Drain Overflow,Rural Development Department,High,74,Rural,High
मुख्य बाजार की नाली कई दिनों से साफ नहीं हुई है।,Hindi,Drainage,Drain Cleaning,Municipal Corporation,Medium,60,Urban,High
अस्पताल के सामने नाली का ढक्कन टूटा हुआ है और दुर्घटना का खतरा है।,Hindi,Drainage,Broken Drain Cover,Public Health Engineering Department,High,85,Urban,High
बारिश के बाद पूरी कॉलोनी में नाली का पानी भर गया है।,Hindi,Drainage,Drain Overflow,Municipal Corporation,High,76,Urban,High
नाली की सफाई नहीं होने से मच्छरों की संख्या बहुत बढ़ गई है।,Hindi,Drainage,Drain Cleaning,Municipal Corporation,Medium,59,Urban,High
स्कूल के पीछे वाली नाली धंस गई है।,Hindi,Drainage,Damaged Drain,Municipal Corporation,High,78,Urban,High
सीवर का पानी नाली से बाहर निकलकर दुकानों तक पहुंच रहा है।,Hindi,Drainage,Sewage Overflow,Public Health Engineering Department,Ultra High,95,Urban,High
बस स्टैंड के पास खुली नाली से बहुत बदबू आती है।,Hindi,Drainage,Open Drain,Municipal Corporation,Medium,56,Urban,High
ग्राम पंचायत की नई नाली सही ढंग से नहीं बनी।,Hindi,Drainage,Drain Construction,Rural Development Department,Medium,62,Rural,High
नाली का पानी खेतों में जा रहा है जिससे नुकसान हो रहा है।,Hindi,Drainage,Drain Overflow,Rural Development Department,High,79,Rural,High
वार्ड 22 में नाली कई दिनों से जाम पड़ी है।,Hindi,Drainage,Blocked Drain,Municipal Corporation,High,73,Urban,High
Nali full choke ho gayi h Ward 16 me pani hi pani hai.,Hinglish,Drainage,Blocked Drain,Municipal Corporation,High,80,Urban,High
Gaon ke chowk wali nali saaf nahi hui bahut din se.,Hinglish,Drainage,Drain Cleaning,Rural Development Department,Medium,60,Rural,High
Open drain ke wajah se smell bahut aa rhi h.,Hinglish,Drainage,Open Drain,Municipal Corporation,Medium,54,Urban,High
Hospital ke gate pe drainage overflow ho raha hai.,Hinglish,Drainage,Sewage Overflow,Public Health Engineering Department,Ultra High,94,Urban,High
Road side wali nali toot gayi hai pls repair.,Hinglish,Drainage,Damaged Drain,Municipal Corporation,High,78,Urban,High
Sabzi market ke paas drain me plastic bhar gaya.,Hinglish,Drainage,Blocked Drain,Municipal Corporation,Medium,63,Urban,High
Har barish me colony ki nali ulta bhar jati hai.,Hinglish,Drainage,Drain Overflow,Municipal Corporation,High,75,Urban,High
School ke samne nali ka dhakkan missing hai.,Hinglish,Drainage,Broken Drain Cover,Municipal Corporation,High,83,Urban,High
Nali ka pani ghar ke andar aa raha h.,Hinglish,Drainage,Drain Overflow,Municipal Corporation,High,81,Urban,High
Village me drainage line adhuri chhod di hai.,Hinglish,Drainage,Drain Construction,Rural Development Department,Medium,61,Rural,High
Bus stand ke paas nali clean nhi hui ab tak.,Hinglish,Drainage,Drain Cleaning,Municipal Corporation,Medium,58,Urban,High
Drain leak ki wajah se road pura geela rehta hai.,Hinglish,Drainage,Drain Leakage,Municipal Corporation,High,72,Urban,High
Drain near Ward 2 anganwadi has been overflowing continuously since last Friday.,English,Drainage,Drain Overflow,Municipal Corporation,High,80,Urban,High
The drainage channel beside the rice mill is blocked with silt and wastewater cannot pass.,English,Drainage,Blocked Drain,Rural Development Department,Medium,66,Rural,High
Nobody repaired the broken drain near Nehru Chowk after road work was completed.,English,Drainage,Damaged Drain,Municipal Corporation,High,82,Urban,High
Water from the drain is entering our basement every evening.,English,Drainage,Drain Overflow,Municipal Corporation,High,79,Urban,High
Open drain outside the government girls school is creating a health hazard.,English,Drainage,Open Drain,Municipal Corporation,High,77,Urban,High
The drain near the weekly market has not been desilted before monsoon.,English,Drainage,Drain Cleaning,Municipal Corporation,Medium,60,Urban,High
Our village drainage outlet is blocked by weeds and bushes.,English,Drainage,Blocked Drain,Rural Development Department,Medium,59,Rural,High
Drain water is leaking into the handpump area in our locality.,English,Drainage,Drain Leakage,Public Health Engineering Department,Ultra High,92,Rural,High
Overflowing drain beside the railway station is causing traffic every morning.,English,Drainage,Drain Overflow,Municipal Corporation,High,81,Urban,High
New drain construction stopped halfway near Ward 27 leaving dirty water stagnant.,English,Drainage,Drain Construction,Municipal Corporation,High,76,Urban,High
Behind the community health centre the drain is completely choked.,English,Drainage,Blocked Drain,Public Health Engineering Department,High,74,Rural,High
Storm drain near the highway service lane is filled with concrete debris.,English,Drainage,Blocked Drain,Municipal Corporation,Medium,64,Urban,High
वार्ड 11 में नाली कीचड़ से भर गई है पानी बिल्कुल नहीं निकल रहा।,Hindi,Drainage,Blocked Drain,Municipal Corporation,High,81,Urban,High
गांव पथरी में नाली का गंदा पानी घरों तक पहुंच रहा है।,Hindi,Drainage,Drain Overflow,Rural Development Department,High,76,Rural,High
सड़क किनारे बनी नाली टूट चुकी है तुरंत मरम्मत कराएं।,Hindi,Drainage,Damaged Drain,Municipal Corporation,High,83,Urban,High
कई दिनों से नाली की सफाई नहीं हुई बहुत बदबू आ रही है।,Hindi,Drainage,Drain Cleaning,Municipal Corporation,Medium,58,Urban,High
अस्पताल के पीछे की नाली से लगातार रिसाव हो रहा है।,Hindi,Drainage,Drain Leakage,Public Health Engineering Department,High,84,Urban,High
बस अड्डे के सामने खुली नाली दुर्घटना का कारण बन सकती है।,Hindi,Drainage,Open Drain,Municipal Corporation,High,79,Urban,High
बारिश के बाद पूरी गली में नाली का पानी भर जाता है।,Hindi,Drainage,Drain Overflow,Municipal Corporation,High,73,Urban,High
ग्राम पंचायत की नाली अधूरी छोड़ दी गई है।,Hindi,Drainage,Drain Construction,Rural Development Department,Medium,61,Rural,High
मंडी के पास नाली में प्लास्टिक फंसा हुआ है।,Hindi,Drainage,Blocked Drain,Municipal Corporation,Medium,57,Urban,High
वार्ड 30 में नाली का ढक्कन गायब है।,Hindi,Drainage,Broken Drain Cover,Municipal Corporation,High,82,Urban,High
स्कूल के पास नाली से मच्छर बहुत बढ़ गए हैं।,Hindi,Drainage,Poor Drain Maintenance,Municipal Corporation,Medium,60,Urban,High
खेत के पास की नाली बंद होने से पानी जमा हो गया है।,Hindi,Drainage,Blocked Drain,Rural Development Department,Medium,63,Rural,High
Nali me kachra itna bhar gaya h ki pani ruk gaya.,Hinglish,Drainage,Blocked Drain,Municipal Corporation,High,78,Urban,High
Ward 6 ki drain overflow ho rhi hai subah se.,Hinglish,Drainage,Drain Overflow,Municipal Corporation,High,77,Urban,High
Gaon ki nali ki safai kabhi time pe nahi hoti.,Hinglish,Drainage,Drain Cleaning,Rural Development Department,Medium,59,Rural,High
PHC ke piche drain leak ho rha hai.,Hinglish,Drainage,Drain Leakage,Public Health Engineering Department,High,83,Rural,High
Road ke side wali open nali se bahut smell aati hai.,Hinglish,Drainage,Open Drain,Municipal Corporation,Medium,56,Urban,High
Nali ka cover tut gaya koi bhi gir sakta h.,Hinglish,Drainage,Broken Drain Cover,Municipal Corporation,High,84,Urban,High
Har baar rain me colony ki drain bhar jati hai.,Hinglish,Drainage,Drain Overflow,Municipal Corporation,High,74,Urban,High
Market area ki drainage line jam hai.,Hinglish,Drainage,Blocked Drain,Municipal Corporation,Medium,65,Urban,High
Nayi nali banayi thi par pani aage hi nahi ja raha.,Hinglish,Drainage,Poor Drain Maintenance,Rural Development Department,Medium,62,Rural,High
Bus stand ke samne drain toot ke dhans gayi.,Hinglish,Drainage,Damaged Drain,Municipal Corporation,High,81,Urban,High
School ke bahar nali me gandagi bhari padi hai.,Hinglish,Drainage,Drain Cleaning,Municipal Corporation,Medium,58,Urban,High
Drain ka pani shop ke andar aa raha hai.,Hinglish,Drainage,Drain Overflow,Municipal Corporation,High,80,Urban,High
Drain near Ward 31 municipal office has been overflowing for ten days despite repeated complaints.,English,Drainage,Drain Overflow,Municipal Corporation,High,83,Urban,High
The drainage outlet behind the old bus stand is completely blocked by construction debris.,English,Drainage,Blocked Drain,Municipal Corporation,High,79,Urban,High
Open drain beside the government college has become a breeding ground for mosquitoes.,English,Drainage,Open Drain,Municipal Corporation,Medium,61,Urban,High
Dirty drain water is entering the paddy fields in Chikhli village after every rainfall.,English,Drainage,Drain Overflow,Rural Development Department,High,75,Rural,High
The drain cover outside the civil court is missing and people are walking around it carefully.,English,Drainage,Broken Drain Cover,Municipal Corporation,High,84,Urban,High
Drain cleaning has not been done in Vivekanand Colony since the start of monsoon.,English,Drainage,Drain Cleaning,Municipal Corporation,Medium,64,Urban,High
The roadside drain near the petrol pump has collapsed creating stagnant water.,English,Drainage,Damaged Drain,Municipal Corporation,High,81,Urban,High
Wastewater from the blocked drain is flowing into nearby shops every evening.,English,Drainage,Blocked Drain,Municipal Corporation,High,78,Urban,High
The newly constructed drain in our village has no proper outlet.,English,Drainage,Drain Construction,Rural Development Department,Medium,60,Rural,High
Sewage is leaking from the drainage chamber beside the maternity hospital.,English,Drainage,Sewage Overflow,Public Health Engineering Department,Ultra High,96,Urban,High
Drain beside the vegetable wholesale market has not been desilted for months.,English,Drainage,Drain Cleaning,Municipal Corporation,Medium,58,Urban,High
The drain outside our apartment gets clogged with leaves after every storm.,English,Drainage,Blocked Drain,Municipal Corporation,Medium,56,Urban,High
वार्ड 15 में नाली पूरी तरह भर चुकी है और पानी सड़क पर फैल रहा है।,Hindi,Drainage,Drain Overflow,Municipal Corporation,High,82,Urban,High
गांव नवागांव में नाली की सफाई नहीं होने से गंदा पानी जमा हो गया है।,Hindi,Drainage,Drain Cleaning,Rural Development Department,Medium,62,Rural,High
पुरानी मंडी के पास नाली प्लास्टिक से जाम हो गई है।,Hindi,Drainage,Blocked Drain,Municipal Corporation,High,74,Urban,High
नाली का ढक्कन हट गया है रात में दुर्घटना होने का खतरा है।,Hindi,Drainage,Broken Drain Cover,Municipal Corporation,High,85,Urban,High
जिला अस्पताल के सामने सीवर का पानी नाली से बाहर आ रहा है।,Hindi,Drainage,Sewage Overflow,Public Health Engineering Department,Ultra High,97,Urban,High
स्कूल के पीछे की नाली टूटने से गंदा पानी फैल रहा है।,Hindi,Drainage,Damaged Drain,Municipal Corporation,High,79,Urban,High
गांव की नई नाली अधूरी बनी हुई है।,Hindi,Drainage,Drain Construction,Rural Development Department,Medium,59,Rural,High
मुख्य सड़क के किनारे खुली नाली से तेज बदबू आती है।,Hindi,Drainage,Open Drain,Municipal Corporation,Medium,57,Urban,High
बारिश शुरू होते ही कॉलोनी की नाली उलटी बहने लगती है।,Hindi,Drainage,Poor Drain Maintenance,Municipal Corporation,High,76,Urban,High
वार्ड 28 में कई दिनों से नाली जाम है।,Hindi,Drainage,Blocked Drain,Municipal Corporation,High,72,Urban,High
खेत के पास की नाली बंद होने से पानी नहीं निकल रहा।,Hindi,Drainage,Blocked Drain,Rural Development Department,Medium,63,Rural,High
Nali pura overflow ho rha hai City Mall ke piche.,Hinglish,Drainage,Drain Overflow,Municipal Corporation,High,80,Urban,High
Gaon me drainage line saaf nahi hui 3 mahine se.,Hinglish,Drainage,Drain Cleaning,Rural Development Department,Medium,61,Rural,High
Ward 18 ki drain me mitti bhar gayi h.,Hinglish,Drainage,Blocked Drain,Municipal Corporation,High,75,Urban,High
Hospital ke samne drain ka cover missing hai.,Hinglish,Drainage,Broken Drain Cover,Public Health Engineering Department,High,84,Urban,High
Drain ka pani road pe fail raha hai aur smell bhi aa rhi.,Hinglish,Drainage,Drain Overflow,Municipal Corporation,High,77,Urban,High
School ke side wali nali toot chuki h.,Hinglish,Drainage,Damaged Drain,Municipal Corporation,High,79,Urban,High
Market area me open drain ki wajah se chalna mushkil hai.,Hinglish,Drainage,Open Drain,Municipal Corporation,Medium,58,Urban,High
Nayi colony ki drainage line complete hi nahi hui.,Hinglish,Drainage,Drain Construction,Municipal Corporation,Medium,62,Urban,High
Bus stand ke paas drain choke hai pani jama ho gaya.,Hinglish,Drainage,Blocked Drain,Municipal Corporation,High,73,Urban,High
Har baar barish me nali ka pani ghar me ghus jata hai.,Hinglish,Drainage,Drain Overflow,Municipal Corporation,High,82,Urban,High
Village road ke side drainage leak ho rha hai.,Hinglish,Drainage,Drain Leakage,Rural Development Department,High,71,Rural,High
Mandir ke samne wali nali me bahut gandagi hai.,Hinglish,Drainage,Drain Cleaning,Municipal Corporation,Medium,55,Urban,High
Drain behind Ward 7 ration shop has remained clogged for twelve days and dirty water is spreading into nearby lanes.,English,Drainage,Blocked Drain,Municipal Corporation,High,82,Urban,High
Overflowing drain near Ambedkar Chowk is making it impossible for pedestrians to cross.,English,Drainage,Drain Overflow,Municipal Corporation,High,79,Urban,High
The drainage channel beside the government hostel has not been cleaned this year.,English,Drainage,Drain Cleaning,Municipal Corporation,Medium,61,Urban,High
Broken drain wall near Saraswati School is causing wastewater to flow onto the road.,English,Drainage,Damaged Drain,Municipal Corporation,High,81,Urban,High
Open drain outside the PHC in Birkoni village is attracting insects and snakes.,English,Drainage,Open Drain,Public Health Engineering Department,High,76,Rural,High
The drain outside my house in Ward 24 gets blocked every weekend because garbage is never removed.,English,Drainage,Blocked Drain,Municipal Corporation,Medium,67,Urban,High
Drain water has entered our grocery shop after yesterday's rainfall.,English,Drainage,Drain Overflow,Municipal Corporation,High,78,Urban,High
The newly laid drain near Indira Colony has already cracked and wastewater is leaking.,English,Drainage,Drain Leakage,Municipal Corporation,High,80,Urban,High
No drainage outlet has been provided in the new residential layout near Ring Road.,English,Drainage,Drain Construction,Municipal Corporation,High,74,Urban,High
The drain near the grain market has become completely filled with sludge.,English,Drainage,Blocked Drain,Municipal Corporation,Medium,63,Urban,High
Drain beside the village panchayat office has collapsed after heavy rain.,English,Drainage,Damaged Drain,Rural Development Department,High,84,Rural,High
Dirty drain water is flowing into the handpump area in our village.,English,Drainage,Drain Leakage,Public Health Engineering Department,Ultra High,93,Rural,High
The roadside drain near Central Park is overflowing every evening.,English,Drainage,Drain Overflow,Municipal Corporation,High,75,Urban,High
Nobody responded even after three complaints about the blocked drain in our lane.,English,Drainage,Blocked Drain,Municipal Corporation,Medium,65,Urban,High
Open drain beside the vegetable mandi has become a health risk.,English,Drainage,Open Drain,Municipal Corporation,High,72,Urban,High
Drain cleaning machine never comes to our area although the drain is full of waste.,English,Drainage,Drain Cleaning,Municipal Corporation,Medium,59,Urban,High
Overflow from the drainage chamber has reached the entrance of the district library.,English,Drainage,Drain Overflow,Municipal Corporation,High,77,Urban,High
वार्ड 20 में नाली कई दिनों से जाम पड़ी है और गंदा पानी सड़क पर फैल रहा है।,Hindi,Drainage,Blocked Drain,Municipal Corporation,High,83,Urban,High
गांव परसदा में नाली की सफाई नहीं होने से पानी घरों तक पहुंच गया है।,Hindi,Drainage,Drain Overflow,Rural Development Department,High,77,Rural,High
मुख्य बाजार के पास नाली का ढक्कन टूटा हुआ है।,Hindi,Drainage,Broken Drain Cover,Municipal Corporation,High,81,Urban,High
सरकारी स्कूल के सामने खुली नाली से बदबू आती रहती है।,Hindi,Drainage,Open Drain,Municipal Corporation,Medium,58,Urban,High
नई कॉलोनी में ड्रेनेज लाइन अधूरी छोड़ दी गई है।,Hindi,Drainage,Drain Construction,Municipal Corporation,High,73,Urban,High
बारिश के बाद नाली का पानी पूरी गली में भर गया।,Hindi,Drainage,Drain Overflow,Municipal Corporation,High,76,Urban,High
बस स्टैंड के पीछे नाली की दीवार टूट गई है।,Hindi,Drainage,Damaged Drain,Municipal Corporation,High,82,Urban,High
गांव की नाली में झाड़ियां उग गई हैं पानी रुक गया है।,Hindi,Drainage,Blocked Drain,Rural Development Department,Medium,60,Rural,High
नाली का गंदा पानी हैंडपंप के पास जमा हो रहा है।,Hindi,Drainage,Drain Leakage,Public Health Engineering Department,Ultra High,92,Rural,High
सफाई कर्मचारी महीनों से नाली साफ करने नहीं आए।,Hindi,Drainage,Drain Cleaning,Municipal Corporation,Medium,57,Urban,High
वार्ड 8 में नाली से लगातार गंदगी बाहर आ रही है।,Hindi,Drainage,Drain Overflow,Municipal Corporation,High,74,Urban,High
मंदिर के सामने नाली पूरी तरह कचरे से भर गई है।,Hindi,Drainage,Blocked Drain,Municipal Corporation,Medium,64,Urban,High
जिला अस्पताल के पीछे नाली का पानी रिस रहा है।,Hindi,Drainage,Drain Leakage,Public Health Engineering Department,High,79,Urban,High
खेत के पास बनी नाली धंस गई है।,Hindi,Drainage,Damaged Drain,Rural Development Department,High,78,Rural,High
मंडी क्षेत्र की नालियों की सफाई तुरंत कराई जाए।,Hindi,Drainage,Drain Cleaning,Municipal Corporation,Medium,62,Urban,High
वार्ड 26 में नाली का पानी दुकानों के अंदर जा रहा है।,Hindi,Drainage,Drain Overflow,Municipal Corporation,High,84,Urban,High
ग्राम पंचायत भवन के पास खुली नाली दुर्घटना का कारण बन सकती है।,Hindi,Drainage,Open Drain,Rural Development Department,High,75,Rural,High
Nali Ward 13 me full jam ho gayi hai pani nikal hi nahi raha.,Hinglish,Drainage,Blocked Drain,Municipal Corporation,High,82,Urban,High
Gaon ke school ke bahar drain overflow ho rha hai.,Hinglish,Drainage,Drain Overflow,Rural Development Department,High,76,Rural,High
Market wali nali ki safai bahut time se nahi hui.,Hinglish,Drainage,Drain Cleaning,Municipal Corporation,Medium,60,Urban,High
Hospital road pe drain ka cover tut gaya h.,Hinglish,Drainage,Broken Drain Cover,Public Health Engineering Department,High,83,Urban,High
Open drain ki smell se rehna mushkil ho gaya.,Hinglish,Drainage,Open Drain,Municipal Corporation,Medium,56,Urban,High
Nayi colony me drainage ka kaam adhura chhod diya.,Hinglish,Drainage,Drain Construction,Municipal Corporation,High,72,Urban,High
Har bar rain me drain ka pani ghar ke gate tak aa jata hai.,Hinglish,Drainage,Drain Overflow,Municipal Corporation,High,79,Urban,High
Village road wali nali dhans gayi h.,Hinglish,Drainage,Damaged Drain,Rural Development Department,High,80,Rural,High
Nali leak hone se handpump ke aas paas gandagi fail rhi hai.,Hinglish,Drainage,Drain Leakage,Public Health Engineering Department,Ultra High,91,Rural,High
Bus stand ke side wali drain me plastic bhar gaya.,Hinglish,Drainage,Blocked Drain,Municipal Corporation,Medium,63,Urban,High
Safai wale sirf photo kheench ke chale jate hain drain waise hi hai.,Hinglish,Drainage,Drain Cleaning,Municipal Corporation,Medium,58,Urban,High
Drain ka pani shop ke andar ghus raha h roj sham ko.,Hinglish,Drainage,Drain Overflow,Municipal Corporation,High,81,Urban,High
Mandir ke samne wali open nali bahut dangerous hai.,Hinglish,Drainage,Open Drain,Municipal Corporation,High,74,Urban,High
Ward 4 ki drainage line crack ho gayi hai aur pani leak ho raha hai.,Hinglish,Drainage,Drain Leakage,Municipal Corporation,High,77,Urban,High
Sabzi mandi ke piche wali nali saaf kara do pls.,Hinglish,Drainage,Drain Cleaning,Municipal Corporation,Medium,55,Urban,High
Gaon me drain ka outlet hi nahi banaya gaya.,Hinglish,Drainage,Drain Construction,Rural Development Department,Medium,61,Rural,High
